Name 	 Score 	 Formula 	 Identifier 
frequency 	 0 	 \displaystyle \lambda _{\text{max}}={\frac {b}{T}}	Wien's displacement law 
frequency 	 0 	 \displaystyle {\frac {\partial T}{\partial t}}=\nabla \cdot (\alpha _{1}\nabla T)+Q	Free boundary problem 
frequency 	 0 	 \displaystyle [i]=T^{q^{i}}-T,	Carlitz exponential 
frequency 	 0 	 \displaystyle \eta \,=\,1-{\frac {T_{c}}{T_{h}}}	fossil-fuel power station 
frequency 	 0 	 \displaystyle \sum _{i}n_{i}\mathrm {d} \mu _{i}=-S\mathrm {d} T+V\mathrm {d} p	Gibbs–Duhem equation 
frequency 	 0 	 \displaystyle H={\frac {kT}{Mg}}	scale height 
frequency 	 0 	 \displaystyle Q_{10}=\left({\frac {k_{2}}{k_{1}}}\right)^{\frac {10\,\mathrm {K} }{T_{2}-T_{1}}}\approx 2.5	Q10 (temperature coefficient) 
frequency 	 0 	 \displaystyle k=Ae^{-E_{a}/(RT)}	Arrhenius equation 
frequency 	 0 	 \displaystyle T(v_{1},v_{2},\ldots ,v_{r})=T(v_{\sigma 1},v_{\sigma 2},\ldots ,v_{\sigma r})	symmetric tensor 
frequency 	 0 	 \displaystyle W=\{u\in L^{p}([0,T];X_{0})|{\dot {u}}\in L^{q}([0,T];X_{1})\}.	coupon collector's problem 
frequency 	 0 	 \displaystyle F=\sigma T^{4}({\tfrac {R}{D}})^{2}	The Magnificent Seven 
frequency 	 0 	 \displaystyle C={\frac {\mathrm {d} Q}{\mathrm {d} T}}	heat capacity 
frequency 	 0 	 \displaystyle T_{\text{A}}={\frac {1}{4\pi }}\int _{0}^{2\pi }\int _{0}^{\pi }G(\theta ,\varphi )T_{\text{S}}(\theta ,\varphi )\sin(\theta )\;d\theta d\varphi &lt;ref&gt;[1]&lt;/ref&gt;	Antenna gain-to-noise-temperature 
frequency 	 0 	 \displaystyle {P}\propto {T}	Gay-Lussac's law 
frequency 	 0 	 \displaystyle T_{n}=\{d\in \mathbb {N} :d\mid n\}	divisor set 
frequency 	 0 	 \displaystyle n_{\rm {Q}}=\left({\frac {MkT}{2\pi \hbar ^{2}}}\right)^{3/2}	Quantum concentration 
frequency 	 0 	 \displaystyle D={\mu \,k_{B}T}	fluctuation-dissipation theorem 
frequency 	 0 	 \displaystyle E=K'+{\frac {RT}{nF}}\ln(c)	Stabilizer code 
frequency 	 0 	 \displaystyle E=K'+{\frac {RT}{nF}}\ln(c)	Pauli group 
frequency 	 0 	 \displaystyle p={\frac {RT}{V-b}}\exp \left(-{\frac {a}{RTV}}\right)	Q230907 
frequency 	 0 	 \displaystyle \Delta T=P\cdot R_{th}	Q3258283 
frequency 	 0 	 \displaystyle T_{C}=10+\left({\frac {N-40}{7}}\right)	Dolbear's Law 
frequency 	 0 	 \displaystyle f^{put}\left(S_{T},k\right)=\left(k-S_{T}\right)^{+}	cost to claim a put option 
frequency 	 0 	 \displaystyle Jo={\frac {2\rho c_{p}\Delta T}{\mu _{\mathrm {e} }H^{2}}}	Joule's number 
frequency 	 0 	 \displaystyle \alpha A+\beta B\rightleftharpoons \sigma A+\tau T	Autocatalysis 
frequency 	 0 	 \displaystyle T_{t}(af+bh)=aT_{t}f+bT_{t}h	Scale-space axioms 
frequency 	 0 	 \displaystyle f:(X,T_{1})\to (Y,T_{2})\quad \land \quad \forall \,U\in T_{2}:\quad f^{-1}(U)\in T_{1}	continuous function 
frequency 	 0 	 \displaystyle \tau _{A}(\omega ):=\inf\{t\in T|X_{t}(\omega )\in A\}	Hitting time 
frequency 	 0 	 \displaystyle \Delta T=T-T_{\mathrm {r} }	temperature difference 
frequency 	 0 	 \displaystyle E_{eq,K^{+}}={\frac {RT}{zF}}\ln {\frac {[K^{+}]_{o}}{[K^{+}]_{i}}}	membrane potential 
frequency 	 0 	 \displaystyle b_{ij}=\sum _{\lambda =1}^{10}G^{(\lambda )}T_{ij}^{(\lambda )}	Explicit algebraic stress model 
frequency 	 0 	 \displaystyle \langle u,v\rangle =\langle Tu,Tv\rangle 	orthogonal transformation 
frequency 	 0 	 \displaystyle h(nT_{s})={\begin{cases}1;&amp;n=0\\0;&amp;n\neq 0\end{cases}}	Nyquist ISI criterion 
frequency 	 0 	 \displaystyle {\begin{aligned}J&amp;=x^{T}(t_{1})F(t_{1})x(t_{1})+\int \limits _{t_{0}}^{t_{1}}\left(x^{T}Qx+u^{T}Ru+2x^{T}Nu\right)\\{\dot {x}}&amp;=Ax+Bu\end{aligned}}	linear-quadratic regulator 
frequency 	 0 	 \displaystyle ChR=100(1-{\frac {T_{o}}{T_{s}}})=100{\frac {T_{a}}{T_{s}}}	Channel reliability 
frequency 	 0 	 \displaystyle \mathrm {HI} =c_{1}+c_{2}T+c_{3}R+c_{4}TR+c_{5}T^{2}+c_{6}R^{2}+c_{7}T^{2}R+c_{8}TR^{2}+c_{9}T^{2}R^{2}	heat index 
frequency 	 0 	 \displaystyle T={\frac {1}{2}}{\dot {q}}^{\mathrm {T} }M{\dot {q}}	mass matrix 
frequency 	 0 	 \displaystyle TMDL=WLA+LA+MOS	Total maximum daily load 
frequency 	 0 	 \displaystyle f_{T}=S_{T}-S_{0}+\left(K-S_{T}\right)^{+}-D=K-S_{0}+\left(S_{T}-K\right)^{+}-D	payoff at maturity of protective put 
frequency 	 0 	 \displaystyle \eta _{\mathrm {max} }=1-{\frac {T_{\mathrm {c} }}{T_{\mathrm {h} }}}	maximum efficiency 
frequency 	 0 	 \displaystyle BRN={\frac {(g/T_{v})\Delta \theta _{v}\Delta z}{(\Delta U)^{2}+(\Delta V)^{2}}}	Bulk Richardson number 
frequency 	 0 	 \displaystyle Q=T_{3}+{\tfrac {1}{2}}Y_{W}	weak hypercharge 
frequency 	 0 	 \displaystyle E=T+V	mechanical energy 
frequency 	 0 	 \displaystyle \epsilon ={\frac {T_{e,db}-T_{l,db}}{T_{e,db}-T_{e,wb}}}	orthographic map projection 
frequency 	 0 	 \displaystyle Q_{10}=\left({\frac {R_{2}}{R_{1}}}\right)^{10/(T_{2}-T_{1})}	Q10 
frequency 	 0 	 \displaystyle A^{T}=-A	skew-symmetric matrix 
frequency 	 0 	 \displaystyle T=\left\{\left(x,\sin {\tfrac {1}{x}}\right):x\in (0,1]\right\}\cup \{(0,0)\}	topologist's sine curve 
frequency 	 0 	 \displaystyle Q=\{x\in k^{n}\mid x^{T}Ax+2b^{T}x+c=0\}	quadric 
frequency 	 0 	 \displaystyle \mathrm {MASE} ={\frac {1}{T}}\sum _{t=1}^{T}\left({\frac {\left|e_{t}\right|}{{\frac {1}{T-1}}\sum _{t=2}^{T}\left|Y_{t}-Y_{t-1}\right|}}\right)={\frac {\sum _{t=1}^{T}\left|e_{t}\right|}{{\frac {T}{T-1}}\sum _{t=2}^{T}\left|Y_{t}-Y_{t-1}\right|}}	mean absolute scaled error 
frequency 	 0 	 \displaystyle (T^{*}T)^{*}=T^{*}T	Von Neumann's theorem 
frequency 	 0 	 \displaystyle M={\frac {1000000}{T}}	Mired 
frequency 	 0 	 \displaystyle \|f-\varphi _{\delta }\|_{\infty }=\sup _{t\in [0,T]}\|f(t)-\varphi _{\delta }(t)\|_{X}&lt;\delta ;	Regulated function 
frequency 	 0 	 \displaystyle L(q_{i},{\dot {q}}_{i})=T(q_{i},{\dot {q}}_{i})-V(q_{i})	Lagrange function 
frequency 	 0 	 \displaystyle k_{t}={\frac {t_{v}}{T_{N}}}={\frac {t_{N}-t_{NV}}{T_{N}}}	Q187089 
frequency 	 0 	 \displaystyle RT^{n}=P_{H}SU^{n}\vert _{H}\;\forall n\geq 0	Commutant lifting theorem 
frequency 	 0 	 \displaystyle p_{ij}\approx \sum _{t}^{T}p_{t}\,p_{it}\,p_{jt}	latent class model 
frequency 	 0 	 \displaystyle \delta (X,Y)=\log {\Bigl (}\inf\{\|T\|\|T^{-1}\|T\in \operatorname {GL} (X,Y)\}{\Bigr )}	Banach–Mazur compactum 
frequency 	 0 	 \displaystyle f(x+T)=f(x)	periodic function 
frequency 	 0 	 \displaystyle {\mathit {Cl}}={\frac {vl\rho }{\lambda \Delta T}}	Clausius number 
frequency 	 0 	 \displaystyle {\mathit {Sk}}={\frac {\varepsilon \sigma T^{3}l}{\lambda }}	Stark number 
frequency 	 0 	 \displaystyle V\propto T	Charles's law 
frequency 	 0 	 \displaystyle D_{T}=k_{T}D	thermal diffusion coefficient 
frequency 	 0 	 \displaystyle {\Delta H^{o}}={RT^{2}}.{\frac {d\ln K}{dT}}	Temperature jump 
frequency 	 0 	 \displaystyle Callx=ATM+0.5RRx+Flyx	Volatility smile 
frequency 	 0 	 \displaystyle \sup \nolimits _{T\in F}\|T(x)\|_{Y}&lt;\infty 	Uniform boundedness principle 
frequency 	 0 	 \displaystyle \beta =\left({\frac {\partial p}{\partial T}}\right)_{V}	pressure coefficient 
frequency 	 0 	 \displaystyle {\rm {\delta }}S={\frac {{\rm {\delta }}q}{T}}	Introduction to entropy 
frequency 	 0 	 \displaystyle P_{T}=\int \limits _{0}^{t}F_{thrust}(t^{\prime })dt^{\prime }=F_{ave}t	Model rocket motor classification 
frequency 	 0 	 \displaystyle h_{\epsilon }^{*}(T_{\epsilon })=T_{0}+\epsilon \,h_{\epsilon }^{*}({\mathcal {L}}_{X}T_{\epsilon })+O(\epsilon ^{2})	Stewart–Walker lemma 
frequency 	 0 	 \displaystyle \forall pTp	Trivialism 
frequency 	 0 	 \displaystyle \sigma (T)	spectrum 
frequency 	 0 	 \displaystyle {\mathit {Ec}}={\frac {v^{2}}{c_{p}\Delta T}}	Eckert number 
frequency 	 0 	 \displaystyle f_{X}(x\mid \theta )=h(x)\exp \left(\eta (\theta )\cdot T(x)-A(\theta )\right)	exponential family 
frequency 	 0 	 \displaystyle U=\sum _{t=0}^{T}\beta ^{t}u(c_{t})	Elasticity of intertemporal substitution 
frequency 	 0 	 \displaystyle Q=C_{\mathrm {th} }\Delta T	thermal mass 
frequency 	 0 	 \displaystyle j^{\star }=\sigma T^{4}	Hayashi track 
frequency 	 0 	 \displaystyle A=T(V)/R	Koszul duality 
frequency 	 0 	 \displaystyle G_{\mu \nu }+\Lambda g_{\mu \nu }={8\pi G \over c^{4}}T_{\mu \nu }	Einstein field equations 
frequency 	 0 	 \displaystyle N\cdot v(T,p)=\sum _{i=1}^{K}N_{i}\cdot v_{i}(T,p)	Thomson scattering 
frequency 	 0 	 \displaystyle P=\sigma \varepsilon AT^{4}	Stefan–Boltzmann law 
frequency 	 0 	 \displaystyle \operatorname {O} _{n}(\mathbb {K} )=\{A\in \mathbb {K} ^{n\times n}|A^{T}A=AA^{T}=I_{n}\}	orthogonal group 
frequency 	 0 	 \displaystyle K={e^{-\Delta G/RT}}	Critical variable 
frequency 	 0 	 \displaystyle T={\tfrac {1}{2}}ab	right triangle 
frequency 	 0 	 \displaystyle R\ =\ N_{S}Zj\exp \left({\frac {-\Delta G^{*}}{k_{B}T}}\right)	Classical nucleation theory 
frequency 	 0 	 \displaystyle (X,{\mathcal {B}},\mu ,T)	measure-preserving dynamical system 
frequency 	 0 	 \displaystyle J=-A/T	Massieu function 
frequency 	 0 	 \displaystyle A^{T}P+PA=-QQ^{T}	Kalman–Yakubovich–Popov lemma 
frequency 	 0 	 \displaystyle T_{ij}^{k}=\Gamma _{ij}^{k}-\Gamma _{ji}^{k}	torsion tensor 
frequency 	 0 	 \displaystyle i_{Q}^{\ast }(TE)=\{(q,v)\in Q\times TE\mid i(q)=\tau _{E}(v)\}\subset Q\times TE,	Kosmann lift 
frequency 	 0 	 \displaystyle R_{\mu \nu }=T_{\mu \nu }\,	history of general relativity 
frequency 	 0 	 \displaystyle {\frac {\kappa }{\sigma }}=LT	Wiedemann–Franz law 
frequency 	 0 	 \displaystyle V(x)=\max _{a\in \Gamma (x)}\{F(x,a)+\beta V(T(x,a))\}	Bellman equation 
frequency 	 0 	 \displaystyle T={\frac {\ln(2)}{\ln(1+r)}}	axion 
frequency 	 0 	 \displaystyle {\cfrac {G+C}{A+T+G+C}}	GC-content 
frequency 	 0 	 \displaystyle K={\frac {q}{\Delta T}}	heat transfer coefficient 
frequency 	 0 	 \displaystyle D=\mu k_{B}T	Einstein relation 
frequency 	 0 	 \displaystyle {1 \over T}=A+B\ln(R)+C[\ln(R)]^{3}	Steinhart–Hart equation 
frequency 	 0 	 \displaystyle C_{T}=C_{K}\cup \{U\}	Heine–Borel theorem 
frequency 	 0 	 \displaystyle \lim _{T\rightarrow T_{H}^{-}}Tr[e^{-\beta H}]=\infty 	Weinberg–Witten theorem 
frequency 	 0 	 \displaystyle H=T+V+V_{\text{bias}}	Metadynamics 
frequency 	 0 	 \displaystyle \nabla _{\mu }T^{\mu \nu }=0	Relativistic Euler equations 
frequency 	 0 	 \displaystyle T=2\pi {\sqrt {\frac {a^{3}}{\mu }}}	orbital period 
frequency 	 0 	 \displaystyle T_{A}=0:\csc ^{2}{\left(B/2\right)}:\csc ^{2}{\left(C/2\right)};T_{B}=\csc ^{2}{\left(A/2\right)}:0:\csc ^{2}{\left(C/2\right)};T_{C}=\csc ^{2}{\left(A/2\right)}:\csc ^{2}{\left(B/2\right)}:0	extouch triangle 
frequency 	 0 	 \displaystyle \nabla _{(i}T_{jk)}=0	Killing tensor 
frequency 	 0 	 \displaystyle \eta _{\text{max}}=\eta _{\text{Carnot}}=1-{\frac {T_{\mathrm {C} }}{T_{\mathrm {H} }}}	connection 
frequency 	 0 	 \displaystyle \eta _{\text{max}}=\eta _{\text{Carnot}}=1-{\frac {T_{\mathrm {C} }}{T_{\mathrm {H} }}}	Carnot's theorem 
frequency 	 0 	 \displaystyle \mu _{\mathrm {X} }=\left({\frac {\partial G}{\partial n_{\mathrm {X} }}}\right)_{T,p}	chemical potential 
frequency 	 0 	 \displaystyle a_{i}=e^{\frac {\mu _{i}-\mu _{i}^{\ominus }}{RT}}	activity 
frequency 	 0 	 \displaystyle S_{r}={\frac {dQ/dT}{Q}}	Hierarchical generalized linear model 
frequency 	 0 	 \displaystyle S_{r}={\frac {dQ/dT}{Q}}	Nanothermometry 
frequency 	 0 	 \displaystyle Y_{t}(u)=T+Y_{c}(u)	Rubin causal model 
frequency 	 0 	 \displaystyle \sigma \propto gT^{3}	Cosmic neutrino background 
frequency 	 0 	 \displaystyle T(n)=S(n)+T(n(1-p))	prune and search 
frequency 	 0 	 \displaystyle I_{diode}={\dfrac {U_{IN}-U_{OUT}}{R_{\Omega }}}	row and column spaces 
frequency 	 0 	 \displaystyle X_{T}=C+\mu RX	Helmert transformation 
frequency 	 0 	 \displaystyle P(t,T)=\mathbb {E} ^{Q}\left[\left.\exp {\left(-\int _{t}^{T}r_{s}\,ds\right)}\right|{\mathcal {F}}_{t}\right]	delayed neutron 
frequency 	 0 	 \displaystyle {\frac {\mathrm {d} \varepsilon }{\mathrm {d} t}}={\frac {C\sigma ^{m}}{d^{b}}}e^{\frac {-Q}{kT}}	creep 
frequency 	 0 	 \displaystyle x^{T}Ax\geq 0	copositive matrix 
frequency 	 0 	 \displaystyle \lim _{T\to T_{\mathrm {H} }}\operatorname {tr} \exp(-H/k_{\mathrm {B} }T)=\infty 	Hagedorn temperature 
frequency 	 0 	 \displaystyle R_{n}={\frac {e^{2}}{4kT_{0}\,\Delta f}}	Equivalent noise resistance 
frequency 	 0 	 \displaystyle \alpha _{A}={\frac {1}{A}}{\frac {\mathrm {d} A}{\mathrm {d} T}}	areal expansion coefficient 
frequency 	 0 	 \displaystyle \langle T,\alpha \rangle 	Homological integration 
frequency 	 0 	 \displaystyle T=b\cdot \log _{2}(n+1)	Hick's law 
frequency 	 0 	 \displaystyle \operatorname {grad} (T)={\begin{pmatrix}{\frac {\partial T}{\partial x}}\\{\frac {\partial T}{\partial y}}\\{\frac {\partial T}{\partial z}}\end{pmatrix}}	temperature gradient 
frequency 	 0 	 \displaystyle T=2\pi {\sqrt {\frac {I}{\kappa }}}	balance wheel 
frequency 	 0 	 \displaystyle T_{n}(\cos \theta )=\cos(n\theta )	Chebyshev polynomials of the first kind 
frequency 	 0 	 \displaystyle T={\frac {1}{2}}mv^{2}	kinetic energy 
frequency 	 0 	 \displaystyle T_{\text{P}}={\sqrt {\frac {\hbar c^{5}}{Gk_{\text{B}}^{2}}}}	Planck temperature 
frequency 	 0 	 \displaystyle \Phi U\subset T\times M\to M	Dynamical system 
frequency 	 0 	 \displaystyle I=I_{\mathrm {S} }\left(e^{qV_{\mathrm {D} } \over nkT}-1\right)	frequency mixer 
frequency 	 0 	 \displaystyle ZFW+FOB=TOW	zero-fuel weight 
frequency 	 0 	 \displaystyle q=hA(T_{a}-T_{b})	Frontogenesis 
frequency 	 0 	 \displaystyle \mathbf {T} ^{(\mathbf {n} )}=\mathbf {n} \cdot {\boldsymbol {\sigma }}\quad {\text{or}}\quad T_{j}^{(n)}=\sigma _{ij}n_{i}.\,\!	Cauchy stress tensor 
frequency 	 0 	 \displaystyle M=(D+L)D^{-1}(D+L)^{T}	symmetric successive over-relaxation 
frequency 	 0 	 \displaystyle L=4\pi R^{2}\sigma T^{4}	Luminosity (star) 
frequency 	 0 	 \displaystyle 0\to Q^{\epsilon }(M)\to B(M){\stackrel {1-\epsilon T}{\longrightarrow }}B(M)\to Q_{\epsilon }(M)\to 0	ε-quadratic form 
frequency 	 0 	 \displaystyle V_{t}^{T}=\mathbb {E} G_{\tau ^{*}}=\sup _{t\leq \tau \leq T}\mathbb {E} G_{\tau }	optimal stopping 
frequency 	 0 	 \displaystyle TCI={\frac {{\textrm {FXEarnings}}-{\textrm {FXExpenses}}}{{\textrm {FXEarnings}}+{\textrm {FXExpenses}}}}	Competitiveness 
frequency 	 0 	 \displaystyle {\frac {1}{K}}\,d_{T}(g,h)\leq d_{S}(g,h)\leq K\,d_{T}(g,h)	Washburn's equation 
frequency 	 0 	 \displaystyle T_{L}={\frac {T_{N}}{cos(\theta )}}	sloped armour 
frequency 	 0 	 \displaystyle \tau _{\text{N}}=\tau _{0}\exp \left({\frac {KV}{k_{\text{B}}T}}\right)	Néel relaxation theory 
frequency 	 0 	 \displaystyle \ ST={\frac {k(\mathrm {Span} )}{RBW^{2}}}	spectrum analyzer 
frequency 	 0 	 \displaystyle h={\frac {q}{T_{\mathrm {s} }-T_{\mathrm {r} }}}	surface coefficient of heat transfer 
frequency 	 0 	 \displaystyle T_{\mu \nu }=-{\frac {2}{\sqrt {\det g}}}{\frac {\delta S}{\delta g^{\mu \nu }}}=-{\frac {2}{\sqrt {\det g}}}{\frac {\partial ({\sqrt {\det g}}{\mathcal {L}})}{\partial g^{\mu \nu }}}=-2{\frac {\partial {\mathcal {L}}}{\partial g^{\mu \nu }}}+g_{\mu \nu }{\mathcal {L}}	stress–energy tensor 
frequency 	 0 	 \displaystyle \Delta (T=0)=1.764\,k_{B}T_{c}	Brownian motion 
frequency 	 0 	 \displaystyle Y=-G/T	Planck function 
frequency 	 0 	 \displaystyle \operatorname {Gram} (A)=\det(A^{T}A)	Gram determinant 
frequency 	 0 	 \displaystyle TD=MD-{\frac {1}{N}}	series circuit 
frequency 	 0 	 \displaystyle K_{C}={\frac {VT}{L}}	Keulegan–Carpenter number 
frequency 	 0 	 \displaystyle \left|\sum _{i=0}^{q-1}\phi f^{i}(x)-q\int _{T}\phi \,d\mu \right|\leqslant \operatorname {Var} (\phi )	Denjoy–Koksma inequality 
frequency 	 0 	 \displaystyle \sum _{k=0}^{\infty }T^{k}	Neumann series 
frequency 	 0 	 \displaystyle M{\ddot {X}}=-\nabla U(X)-\gamma {\dot {X}}+{\sqrt {2\gamma k_{B}T}}R(t)\,	Langevin dynamics 
frequency 	 0 	 \displaystyle E_{D}={\frac {1}{4\pi \epsilon _{0}^{2}}}{\frac {ne^{3}\ln \Lambda }{m_{e}v_{Te}^{2}}}	Dreicer field 
frequency 	 0 	 \displaystyle \forall y(R(x,y)\rightarrow ST_{y}(\Box p))	Standard translation 
frequency 	 0 	 \displaystyle I_{\nu }={\frac {2h\nu ^{3}}{c^{2}}}{\frac {1}{e^{\frac {h\nu }{kT}}-1}}	brightness temperature 
frequency 	 0 	 \displaystyle \alpha _{l}={\frac {1}{l}}{\frac {\mathrm {d} l}{\mathrm {d} T}}	linear expansion coefficient 
frequency 	 0 	 \displaystyle \langle \xi \mid T\xi \rangle \geq 0\quad \xi \in \operatorname {dom} \ T	Friedrichs extension 
frequency 	 0 	 \displaystyle V=(HH\cdot TR\cdot TU)+(HH\cdot TR\cdot MR\cdot RR\cdot RU)	Fourt-Woodlock equation 
frequency 	 0 	 \displaystyle K_{ij}^{k}={\frac {1}{2}}(T_{ij}^{k}-g_{il}g^{km}T_{jm}^{l}+g_{jl}g^{km}T_{mi}^{l})=\Gamma _{ij}^{k}-\Gamma _{\text{Levi-Civita}}{}_{ij}^{k}	contorsion tensor 
frequency 	 0 	 \displaystyle T_{n}=(n-1)!	Recursive tree 
frequency 	 0 	 \displaystyle Q=UA\Delta T	Bogdanov-Takens bifurcation 
frequency 	 0 	 \displaystyle \Delta T=-{\text{tr}}\;\nabla ^{2}T	Laplace operators in differential geometry 
frequency 	 0 	 \displaystyle \Lambda =\delta T	logarithmic decrement 
frequency 	 0 	 \displaystyle T_{1}+T_{2}+T_{3}+T_{7}	analysis of algorithms 
frequency 	 0 	 \displaystyle f^{call}\left(S_{T},k\right)=\left(S_{T}-k\right)^{+}	cost to claim a call option 
frequency 	 0 	 \displaystyle r=k(T)[\mathrm {A} ]^{m}[\mathrm {B} ]^{n}	reaction rate constant 
frequency 	 0 	 \displaystyle p={\frac {R\cdot T}{V_{m}-b}}-{\frac {a(T)}{V_{m}^{2}+2\cdot b\cdot V_{m}-b^{2}}}	Q230917 
frequency 	 0 	 \displaystyle \tau ={\frac {n_{corr}-\sum _{i=1}^{T}p_{i}n_{i}}{N-\sum _{i=1}^{T}p_{i}n_{i}}}	Klecka's tau 
frequency 	 0 	 \displaystyle c'=D_{1}\,S^{T}\,f_{1}=D_{2}\,S^{T}\,f_{2}	chromatic adaptation 
frequency 	 0 	 \displaystyle \Gamma _{\beta \gamma }^{\alpha }+T_{~\beta \gamma }^{\alpha }+S_{~\beta \gamma }^{\alpha }	Bismut connection 
frequency 	 0 	 \displaystyle \left(p+{\frac {a'}{v^{2}}}\right)\left(v-b'\right)=kT	Van der Waals equation 
frequency 	 0 	 \displaystyle {\mathit {Bz}}={\frac {\rho vc_{p}}{\varepsilon \sigma T^{3}}}	Boltzmann number 
frequency 	 0 	 \displaystyle {\mathit {Gr}}^{*}=-{\frac {l^{3}g\Delta x}{\rho \nu ^{2}}}\left({\frac {\partial \rho }{\partial x}}\right)_{T,p}	Grashof number for mass transfer 
frequency 	 0 	 \displaystyle \omega =-\log _{10}(p_{r}^{\rm {sat}})-1,{\rm {\ at\ }}T_{r}=0.7	acentric factor 
frequency 	 0 	 \displaystyle {\color {Blue}BCT}=5.876\times {\color {Red}ECT}\times {\sqrt {U\times d}}	Edge crush test 
frequency 	 0 	 \displaystyle {{\frac {dQ}{dt}}=h\cdot A\cdot (T(t)-T_{\text{env}})=h\cdot A\Delta T(t)\quad }	Newton's law of cooling 
frequency 	 0 	 \displaystyle \langle T\rangle =-{\frac {1}{2}}\sum _{i}\langle {\vec {F}}_{i}\cdot {\vec {r}}_{i}\rangle 	virial theorem 
frequency 	 0 	 \displaystyle {\mathit {Po}}={\frac {Q_{\mathrm {m} }l^{2}}{\lambda \Delta T}}	Pomerantsev number 
frequency 	 0 	 \displaystyle PV=nRT	gas 
frequency 	 0 	 \displaystyle PV=nRT	ideal gas 
frequency 	 0 	 \displaystyle PV=nRT	ideal gas law 
frequency 	 0 	 \displaystyle T_{\mathrm {H} }={\frac {1}{8\pi M}}	Hawking radiation 
frequency 	 0 	 \displaystyle RT_{60}={\frac {24\ln 10^{1}}{c_{20}}}{\frac {V}{Sa}}\approx 0.1611\,\mathrm {s} \mathrm {m} ^{-1}{\frac {V}{Sa}}	reverberation 
frequency 	 0 	 \displaystyle l\colon TS\to ST	distributive law between monads 
frequency 	 0 	 \displaystyle \tau _{ij}=f(T)=a_{ij}+{\frac {b_{ij}}{T}}+c_{ij}\ \ln \ T+d_{ij}T	Non-random two-liquid model 
frequency 	 0 	 \displaystyle BI=(H_{700}-H_{1000})-T_{700}-200	Q895946 
frequency 	 0 	 \displaystyle \|T\|=\sup _{x\in {\mathcal {D}}(T):\|x\|\neq 0}{\frac {\|Tx\|}{\|x\|}}	operator norm 
frequency 	 0 	 \displaystyle K_{n}={\frac {E\cdot T\cdot d}{a}}	Applied element method 
frequency 	 0 	 \displaystyle \rho _{e}=e{(c^{+}-c^{-})}=c_{0}e\cdot \left[e^{\frac {-e\psi (x,y,z)}{k_{B}T}}-e^{\frac {e\psi (x,y,z)}{k_{B}T}}\right]	Poisson–Boltzmann equation 
frequency 	 0 	 \displaystyle T(C,\otimes ,I)\to (C,\otimes ,I)	monoidal monad 
frequency 	 0 	 \displaystyle \forall U\in T{\mbox{ s.t. }}U\neq \emptyset ,\mu (U)&gt;0	Strictly positive measure 
frequency 	 0 	 \displaystyle \sigma (T)=\sigma _{p}(T)\cup \sigma _{c}(T)\cup \sigma _{r}(T)	Decomposition of spectrum 
frequency 	 0 	 \displaystyle p={\frac {RT}{V-b}}-{\frac {a}{V^{5/3}}}	Q230907 
frequency 	 0 	 \displaystyle {\mathcal {E}}^{(0)}=\left\{z\in \mathbb {R} ^{n}\ \ (z-x_{0})^{T}P_{(0)}^{-1}(z-x_{0})\leqslant 1\right\}	ellipsoid method 
frequency 	 0 	 \displaystyle G=H-TS	Gibbs free energy 
frequency 	 0 	 \displaystyle T_{\mathrm {amortized} }(o)=T_{\mathrm {actual} }(o)+C\cdot (\Phi (S_{\mathrm {after} })-\Phi (S_{\mathrm {before} }))	Potential method 
frequency 	 0 	 \displaystyle \lbrace (x,y)\in X\times Y\mid Tx=y\rbrace 	closed graph theorem 
frequency 	 0 	 \displaystyle \sigma _{f}={\sqrt {\frac {kT}{mc^{2}}}}f_{0}	Doppler broadening 
frequency 	 0 	 \displaystyle +_{*}T(E\times E)\to TE,\qquad \lambda _{*}TE\to TE	Secondary vector bundle structure 
frequency 	 0 	 \displaystyle T={\boldsymbol {M}}\cdot {\boldsymbol {e}}_{\mathrm {Q} }	torque 
frequency 	 0 	 \displaystyle A=U-TS	Helmholtz free energy 
frequency 	 0 	 \displaystyle \Delta R=k\Delta T	thermistor 
frequency 	 0 	 \displaystyle {\mathit {Gr}}={\frac {l^{3}g\alpha _{V}\Delta T}{\nu ^{2}}}	Grashof number 
frequency 	 0 	 \displaystyle T(s)={\frac {kG(s)}{1+kG(s)}}	Nyquist stability criterion 
frequency 	 0 	 \displaystyle T({\vec {x}})=\mathbf {A} {\vec {x}}	transformation matrix 
frequency 	 0 	 \displaystyle H_{p}={\frac {(273.15+T)}{1000}}\cdot (C+\log(t))	Hollomon–Jaffe parameter 
frequency 	 0 	 \displaystyle t=T-T_{0}	Celsius temperature 
frequency 	 0 	 \displaystyle {\frac {P_{1}V_{1}}{T_{1}}}={\frac {P_{2}V_{2}}{T_{2}}}	Combined gas law 
frequency 	 0 	 \displaystyle \mathbf {W} ^{i}=[T_{i}]\mathbf {w} =[A_{i}]\mathbf {w} +\mathbf {d} _{i},\quad i=1,\ldots ,5	Burmester's theory 
frequency 	 0 	 \displaystyle T={\frac {2L}{\sqrt {gh}}}	Seiche 
frequency 	 0 	 \displaystyle T=2\pi {\sqrt {\frac {I}{\kappa }}}\,	balance wheel 
frequency 	 0 	 \displaystyle {\frac {T}{T_{i}}}={\sqrt {\frac {M_{i}}{m_{e}}}}	Peierls transition 
frequency 	 0 	 \displaystyle K_{\mathrm {eq} }=10^{-2.4198+0.0003855T+{\frac {2180.6}{T}}}	water-gas shift reaction 
