GoldID,Query,Benchmark,Matches,"(Score, Rank)",Issue,exact match: 2 points
372,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity ","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10)",,
372,t,duration,"coordinate time, time","(1,1), (1,8)",,
372,displacement,s,s,"(2,1)",,
372,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
372,duration,t,-,-,,
373,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity ","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10)",,
373,r,position vector,"characteristic length, distance","(1,6), (1,7)",,
373,t,duration,"coordinate time, time","(1,1), (1,8)",,
373,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
373,position vector,r,r,"(2,2)",,
373,duration,t,-,-,,
374,\sigma,wavenumber,-,-,,
374,\lambda,wavelength,wavelength,"(2,5)",,
374,wavenumber,\sigma,k,"(1,1)",normally wave number denoted by k.,
374,wavelength,\lambda,"\lambda, \lambda","(2,1), (2,2)",,
375,A,work,-,-,,
375,F,force,force,"(2,7)",,
375,r,position vector,"characteristic length, distance","(1,6), (1,7)",,
375,work,A,-,-,,
375,force,F,"F, F","(2,1), (2,2)",,
375,position vector,r,r,"(2,2)",,
